step,signal,clock_per_bit
0,-1.98299e+103,9.984e+34
10,-1.98494e+103,9.98388e+34
20,-1.98734e+103,9.9837e+34
30,-1.98974e+103,9.98351e+34
40,-1.99215e+103,9.98329e+34
50,-1.99456e+103,9.98311e+34
60,-1.99699e+103,9.98288e+34
70,-1.99943e+103,9.98263e+34
80,-2.00188e+103,9.98232e+34
90,-2.00434e+103,9.98196e+34
100,-2.00682e+103,9.98161e+34
110,-2.00932e+103,9.98129e+34
120,-2.01183e+103,9.98087e+34
130,-2.01436e+103,9.98039e+34
140,-2.01691e+103,9.97983e+34
150,-2.01949e+103,9.97912e+34
160,-2.0221e+103,9.97836e+34
170,-2.02475e+103,9.97727e+34
180,-2.02745e+103,9.97582e+34
190,-2.03024e+103,9.97341e+34
200,-2.0332e+103,9.96595e+34
210,-2.03639e+103,9.96516e+34
220,-2.03959e+103,9.96495e+34
230,-2.0428e+103,9.96475e+34
240,-2.04602e+103,9.96454e+34
250,-2.04924e+103,9.96431e+34
260,-2.05248e+103,9.96414e+34
270,-2.05571e+103,9.964e+34
280,-2.05896e+103,9.96382e+34
290,-2.06221e+103,9.96363e+34
300,-2.06546e+103,9.96349e+34
310,-2.06872e+103,9.96334e+34
320,-2.07198e+103,9.96326e+34
330,-2.07524e+103,9.96314e+34
340,-2.07851e+103,9.96302e+34
350,-2.08178e+103,9.9629e+34
360,-2.08505e+103,9.96276e+34
370,-2.08832e+103,9.96267e+34
380,-2.0916e+103,9.96259e+34
390,-2.09488e+103,9.96249e+34
400,-2.09816e+103,9.96236e+34
410,-2.10145e+103,9.96225e+34
420,-2.10473e+103,9.96214e+34
430,-2.10802e+103,9.96203e+34
440,-2.11131e+103,9.96195e+34
450,-2.11461e+103,9.96186e+34
460,-2.1179e+103,9.96175e+34
470,-2.1212e+103,9.96166e+34
480,-2.12449e+103,9.96156e+34
490,-2.12779e+103,9.96149e+34
